"","PTGS2","YTHDF3.AS1","CDKN3","KIF11","PDE8A","CCNB1","HEY1","LETM2","TOP2A","HELLS","MEF2C","MELK","FABP5","LYAR","WBP4","LINC01138","RHOB","CPQ","CCSAP","AMD1","OAZ2","CLEC1A","SGK1","LOC105369662","ZNF687","KIF18A","IL36B","LRRC25","LOC100272216","DTL","SLFN13","SOX3","PTPN9","ANKRD22","LINC00896","LOC652276","CD1E","CNR2","LOC101927257","TRMT6","APLP2","GPATCH2L","HRASLS2","NUAK2","PIR","NAGS","RFX2","ZFX","TNRC6A","SLC45A3","Status"
"GSM382248",5.85809811113275,4.2825869289411,3.43602643434191,3.23598792725564,3.65303856583226,3.72416614859794,4.2543176081182,3.82043907428126,4.73490893420228,5.42434638723644,4.65312879758982,4.02115623181267,6.56195557081509,8.83136992511498,6.98648135107991,7.4279493078698,4.33404206871726,7.76244519175029,2.62208172249826,7.78007562150376,8.78803969353085,4.67966600875975,9.49356515055275,7.93082737942843,5.02417528991767,2.70344393980032,3.38043292746883,7.82700084026185,9.54761967489607,3.43561204375486,3.81588906947923,4.05648602302749,5.7677245443822,6.55235296221166,3.74940403896427,4.7811851382708,4.86333274869899,4.89041628069457,3.7844433530554,7.63432684249667,9.91249906866051,4.7154677387305,3.92789364480717,8.71112114607947,2.92710025989754,4.99931667090081,3.92024992503436,3.79874944962272,4.06581358809849,4.45589323773202,"Rejection"
"GSM382249",7.39428655508417,4.56296382050337,3.36084979105644,3.3181915793015,3.76009784151467,3.72223909640306,4.65879804229157,4.06435673997559,4.37407064119909,4.38019192539284,4.92764085021565,3.54598903900878,6.11530935986963,8.22071437248539,6.95192780460503,6.89092684627409,4.15413095771227,8.60457706838549,2.54771703770013,8.17787191821041,9.06094537436262,4.5156580113458,10.1389608506574,6.67063323218112,5.35570750465367,3.31056132872468,2.97120937276337,8.09084373090474,9.19008117818635,3.01676900849747,3.35608530096487,3.68597957551324,5.63448929097167,7.03235989658351,4.17297015834612,5.06938679701152,4.90825581784811,4.68572824878595,3.954547442557,7.06773975508809,10.4641701014781,4.94700411306568,4.10171425008769,9.69945906475176,2.92410041300386,4.79201387660443,4.07290300610147,4.05522516092625,3.61624650304579,5.14357566596045,"Rejection"
"GSM382250",5.70198285968599,4.67205697935112,3.43955993427317,3.1720835158608,3.7804729231477,3.7594068132461,4.52564175080377,4.39993399968749,3.76207707066467,4.19513956888215,5.12645890502071,3.72102765004199,5.88850551342432,7.91793612495818,5.90238243118784,7.72124175676281,4.55300047331297,8.70606742015078,2.49878030360983,8.21001970149984,9.86825216564872,5.09526183087839,8.2336631857777,6.61401141447906,5.894970383822,2.95869818894152,3.26613840965118,8.27795382052749,9.17060540912336,3.0453056168616,3.61484108999732,4.2568401276464,5.98275291843037,8.16403931044404,4.5712811265142,5.11641033313176,4.8788243312115,5.0400379892585,3.52881868197042,6.64325955892715,10.5422182465455,4.66271005093563,4.56680453709154,9.95004286938239,3.01400943749913,5.13091055470403,4.69405057128572,4.32838730112823,3.89201608156605,5.21067148425607,"Rejection"
"GSM382251",5.19496693642926,4.18366830345356,3.11096724070257,3.26174908566285,3.69981191998451,4.13122981937585,5.11547033937447,4.66413029707454,3.51396678853586,3.90439789047317,4.31473214626325,3.98495251488651,6.52104341910802,8.00612599997751,7.12778863681829,7.75846228473391,4.03452920417505,8.64642010490084,2.70069487638967,8.18352727375037,9.29409485276685,4.78988816112909,10.1688712818404,7.39918996243385,6.02875595668003,2.79212400627696,2.92251975904485,8.03133669366893,8.82961325509727,3.36316619573937,3.07207766767338,4.04345788758251,5.91909520959637,5.75428172514666,4.04488612406241,5.04398481744874,4.94630321070535,4.43408516248043,3.46869639848905,7.2694285590634,10.6682308939848,5.2605159510509,4.38209107127562,9.97476957347554,2.90020645415886,5.38059642936339,4.03855447893892,4.19652412033453,3.54815256797707,5.21181474505322,"Rejection"
"GSM382252",7.16451285072368,4.04801717945981,3.36419391490721,2.94846010681289,4.49398005725187,3.85411967186027,4.13597408265236,3.98634407696366,3.37064989266678,4.26427356282154,5.53783095292173,3.70546802064745,6.20223483380582,7.83772494738724,6.68272918778213,7.42544643519231,4.29147258640487,8.93097157624046,2.59502406373679,8.21743308613644,9.1551774224827,4.56617861996992,10.1457208689947,6.31700531261566,5.4497037595831,2.54643588823416,3.0592376898347,8.44493089928733,8.89345036503004,2.94063533419099,3.75816638276115,4.08622400854061,5.58048961363317,6.80072245840212,3.99969531582718,5.06546495018727,5.19637340546072,4.97033321753388,3.8493625447526,6.97691826127109,10.1855000559247,4.47116379928057,3.48305850127824,9.49986039445042,2.795054204205,4.64541453223439,4.56437327390009,4.58677756886927,3.94531276963747,5.02405565682039,"Stable"
"GSM382253",7.19331620759349,3.96821671472689,3.35858919205845,3.02020589275114,3.82679213619704,4.21179449910596,6.43362801647577,4.76407569175415,4.30521642120037,4.79539006473206,5.2072270170399,3.99131762233726,6.33558115909732,7.87975475303514,6.27213427657889,6.94377803139625,4.81695830794055,9.04305282782046,2.52786521606968,8.62623047239654,9.71962120883041,4.92525765012242,9.58599165555909,7.09751895695783,5.56155828388666,2.95508821161015,2.82367073921241,9.49485812177027,8.39001414121103,3.20933629987032,3.48309695189267,3.81156695891227,5.58409001407285,6.5606210572272,3.9089439760433,5.03414401370603,4.42858837106106,5.11982996280729,3.71965798973336,6.61078829144931,10.4603074579373,4.76428561747164,4.20846835712324,9.86691063295225,3.22323311983523,4.2840595329572,4.79096789014393,4.10899935591471,3.97638431110459,5.64798182301904,"Rejection"
"GSM382254",8.09490888185194,4.16184491092977,3.39804839087878,3.1793658552258,4.06570135752482,4.03607597373665,4.93068687011029,4.66303114381455,3.7090785873246,4.53354009666604,6.52867091756687,3.50103377264921,6.13612082413932,7.77961942978018,6.40831790116311,7.33321402175108,5.16086132191677,8.71071954350431,2.6876651504531,8.29314754468738,9.11667163779354,4.89050891893803,9.84792850781954,7.14717788103316,5.25982499411791,2.78669317009224,3.17366689662748,8.0347495547566,8.34428312978973,3.02442130634547,3.09969346978693,3.67202123893158,5.30759467798223,7.36594121617058,3.79886571230492,5.1744327960047,4.53371401683922,4.64487022165792,3.63856759114736,6.54341321245177,10.1536173991337,4.89480992068569,3.96951900708124,9.48195720908174,2.73548490280172,4.45961357091399,4.10485433397326,4.18263455157423,3.81487164743915,4.65788123766355,"Rejection"
"GSM382255",7.08767503582322,4.09420170363805,3.62706439354656,3.42861097661952,3.68099951971872,4.27100212912198,5.23479795375941,4.18960859985933,5.61212459343507,4.2128294600482,5.34472939361546,4.14506171273684,5.88283805103312,7.48403373031208,6.44140372253317,6.77601507098279,4.52411791040347,8.49539057574584,2.53367585065164,8.22882383155557,9.65140490287292,4.59357730419852,10.1126738611271,6.88583925249556,5.66922726644614,3.34013740456803,2.99147739476819,8.3907472947983,7.8755898620166,3.44434883965672,3.30540640657825,3.91670129704466,5.92072008754579,7.26997550344508,4.2678265979515,5.21331844544154,5.18189787423783,5.0719087237698,3.47223571538902,7.07425157660038,10.2733041844485,4.69120914233899,4.29851429012535,9.2622538860651,3.02297434494731,4.87271597042594,4.45791355527503,3.8234992517404,4.096840718048,5.1023834428655,"Rejection"
"GSM382256",7.47174222614342,4.02041603288643,3.21525486224895,2.92032195710801,3.92972822852894,3.73056947635313,4.50686038167167,3.39076367067994,4.25225708119599,4.46074012452081,5.60678101041757,3.25424188439154,6.12172533490931,7.80691823746679,6.63451507820435,7.0399544543167,4.46024185444976,8.57326232866516,2.81253743491587,8.23788299213384,9.14969741268193,4.79352424209935,9.64008074589116,6.97093236866236,5.31043297934889,2.82007699104129,3.01749282713134,8.70625278079174,8.53910226921626,3.2203353749194,3.48887960846106,4.03222238888589,5.72766784381262,8.71169692353102,4.19630723872885,5.42664944656052,4.80067703707001,5.46005878641061,3.80010354623533,6.87415506243028,10.3573725844981,4.74572761421177,3.8635019188684,9.46770715759334,2.69161026551068,4.49828139468506,4.34137013688443,4.09806045252904,3.56322915950874,5.33089525403555,"Rejection"
"GSM382257",6.17878082155685,4.32294116447847,4.10453550209226,4.96750736803223,3.90660675715812,5.97423924832232,4.24914748679696,4.23806983255353,7.12412305085335,5.61123126211154,4.66689619105894,5.40182197620883,6.64878182248451,7.57773029559712,6.11252277880573,8.24503322464396,4.07546199782303,8.76339759350263,2.58394059010617,7.81022781637503,9.24511427385452,4.42920675997743,7.67495674475645,8.08122445164419,5.69438347198588,3.40372593778373,3.49920777604284,8.36471231287155,8.44438905153057,4.90401509493701,4.07382658005686,3.88518180850749,5.3883040234788,8.48096672351237,4.05067229590178,5.34601812466678,5.09691647618403,5.01584194581046,3.92359995261208,6.51867780896545,9.67573027715854,5.01373715712462,4.23753888263155,9.8159703766515,3.12302411387077,4.10755339235741,4.32396863543531,3.94378674315505,3.89665807371297,4.73101441414356,"Rejection"
