LGSN,OLFM3,DNAJC24,UPRT,LCORL,PPP3CA,HERPUD2,APELA,PPAT,ZFP37,ZNF354C,ZNF800,ARID2,NLK,FBXO33,POLR3F,KBTBD12,ZNF396,PRRG4,CDO1,ZNF718,SAMD13,NIP7,INSC,TMEM38B,ZFAND4,NIPSNAP3A,GPAM,GIN1,SEC24B.AS1,ZKSCAN7,FBXO7,PABPC4L,WAC.AS1,TMEM169,Label
3.595600671,2.803488151,4.960694237,7.010076426,6.181814985,7.486674152,7.374025903,4.459031774,7.353985082,4.010625244,6.266304493,6.167493521,4.521517411,6.032568402,7.379360027,6.682280863,5.184652623,3.832216621,5.114604606,5.887674678,6.074249205,3.39425142,6.554893317,4.139437619,7.055717374,5.88522023,6.663829255,4.475052169,5.432029728,4.651881389,7.629524781,8.433903035,6.044123763,6.817577141,4.870919384,acute
4.335604787,3.058927941,5.437854762,7.932653238,6.663085022,9.420009509,8.262241101,6.275824393,8.41580579,5.029932324,7.663994745,7.033577579,5.630444407,7.926776695,8.159562434,8.62929314,4.991858517,4.055264088,6.104246063,4.688663543,6.402232098,3.694805906,7.519225757,5.227589248,8.186332315,6.622101834,8.021872445,6.587152951,4.56663264,5.168855627,8.123167566,9.75147171,6.94825093,7.80978096,6.39369095,acute
5.000825074,3.568661271,6.034183072,7.512616829,6.15722638,8.353314341,8.282572178,6.705014429,7.655438751,4.352802926,6.222860043,6.378360954,4.79808315,6.29268817,7.366860778,7.08016084,5.371984117,4.533051166,5.840358829,5.737976522,5.818992211,3.866495329,6.747847987,5.372353702,8.653073869,6.14738195,7.46613748,4.729767768,4.977823703,5.62731743,7.557772843,9.078514209,5.964054576,7.602160009,5.297825913,acute
4.626196005,5.930532339,6.263405055,6.586503898,6.417033795,8.71520678,8.93504376,5.810425028,8.631869902,4.088870398,6.326934158,7.297560905,6.070918869,7.148922103,7.70557983,6.804117344,5.463783818,3.667590783,5.227094253,5.219532719,6.049258631,3.113880562,6.397493875,5.771762505,7.348319282,6.731746059,6.934880506,5.242351261,4.878816872,5.878459482,7.598205584,9.295144159,6.502634086,8.593543484,4.857135689,acute
5.063751888,4.483889551,5.898714454,7.211170247,5.917787076,7.923023723,7.346281882,6.373154659,7.733025825,4.372926796,6.184037048,6.295387236,5.026224181,6.516182198,7.483727782,6.672722066,6.039787802,4.291917076,5.937881836,5.935193508,5.861317855,3.706418956,6.223806556,5.82607511,7.92855624,5.906048325,7.525253672,5.33956961,4.417280179,4.908529406,7.438696611,9.277997099,6.547531078,7.675241044,4.83550932,acute
4.096453743,2.65806997,5.933677092,7.543896267,5.250331836,8.753597794,8.000704701,4.25248033,8.192677593,4.693515473,6.897076219,7.473170691,6.023554955,7.314473216,7.999975673,7.086140195,4.842641582,3.936696536,6.072701406,7.525851477,6.184972771,3.927013171,7.200771325,4.366683215,7.374294318,6.330369623,6.94521199,6.174514294,5.191637034,5.717139769,8.140440558,9.18649222,6.463776136,7.261677791,5.747661056,acute
5.797654908,5.44172286,6.104660621,8.242032189,6.750913024,9.699594029,8.502380857,7.952726674,9.307537323,5.887206862,7.008801579,7.071155992,6.244955696,7.748678899,8.073121467,8.886572395,7.469241988,5.385276849,6.280825167,7.267873815,6.786427669,4.908753127,7.65766562,6.464466972,9.495029396,7.098684405,8.736568851,7.939775424,4.651879745,6.445729617,8.332572896,9.158308643,7.582481157,8.260790464,6.83397516,acute
4.989418935,4.620072923,6.238692416,7.827970821,6.794855874,9.668495051,8.525589942,7.159845202,9.267833249,4.576819365,7.447783869,8.041140517,6.045824239,8.235792319,8.299955022,7.986560395,4.797597032,4.37541926,5.885158202,5.96517503,6.192028818,3.395118915,7.589342158,6.160541239,7.841488863,6.808921271,7.514046668,6.412491322,5.202662039,5.299250808,8.376832711,9.062647644,6.893911753,8.01906785,5.214120506,acute
5.609961179,6.804291969,6.81160441,7.886614117,7.841146096,10.04271017,9.872664326,7.176478909,9.09552596,6.015016024,7.026950847,6.8356019,5.586914315,7.593643938,6.970194077,7.106761048,7.147027475,6.386910801,5.580615646,5.14467684,6.938869559,4.939611019,6.110353883,8.211626943,9.459091657,8.122848106,7.684444926,6.784713467,5.260419339,6.241865852,7.999624193,7.417355895,7.580569688,9.178502593,6.451681701,acute
5.882384598,4.439887206,6.192161009,8.256417216,6.119365671,9.164026039,8.316346768,8.866057191,8.54467196,4.971028808,7.219265133,7.267691842,6.164158691,7.749467723,8.276673031,7.146898409,5.31467878,4.247428849,7.238490412,4.917366871,6.549982888,4.176972266,6.795095928,6.087497505,8.693491977,6.045668805,7.466173368,6.776968122,5.036028386,5.286460514,8.25455736,9.910968209,7.123052323,8.079025129,6.164158691,acute
4.527967751,4.122879523,5.198286677,7.749127893,5.937973534,6.852365638,7.101854281,6.852614739,8.20451399,4.454699912,6.922090318,6.566802157,4.522969525,6.789206029,7.075429213,7.545329944,6.525431838,4.31401388,5.700220249,6.547098848,5.93523871,4.33855068,8.344190852,6.826062029,8.212235754,6.048337366,8.91945063,4.750546979,5.426265052,5.405039951,6.964803079,9.353159482,5.509643323,7.273181612,6.011155112,acute
5.019794607,3.743235863,5.030916301,7.673732767,7.077657964,9.096041469,7.745160912,6.155433136,9.064307519,5.224030162,7.178754501,6.900991975,5.528705136,7.896781076,7.91801811,8.508832881,5.591153751,5.187160183,5.543073312,5.813437336,7.066985907,4.182093868,7.435971035,5.420040825,8.156593808,6.927111963,8.154317568,6.177245946,4.899453797,5.894449578,8.517932762,9.887387997,7.210927337,7.336771076,6.475195109,chronic
